job_title,company_name,job_description_length,skills_required,salary_range,job_post_age,verified_recruiter,company_website_available,job_location,fake_job
Online Survey Agent,StartupX,572,0,29192,76,0,0,On-site,0
Online Survey Agent,Tesla,491,15,24650,68,0,1,On-site,1
Graphic Designer,Unknown LLC,709,15,19613,38,1,0,Remote,1
Content Writer,Facebook,242,14,34024,12,0,0,Hybrid,1
Software Engineer,Google,144,14,160409,8,1,1,Hybrid,0
HR Manager,Tesla,438,1,157043,24,1,0,Remote,0
HR Manager,Unknown LLC,735,1,66646,65,1,1,Hybrid,0
Graphic Designer,Amazon,185,1,52726,80,0,0,On-site,0
Content Writer,Tesla,808,14,67970,66,1,1,On-site,1
Content Writer,Unknown LLC,51,1,50052,61,1,1,Hybrid,1
Online Survey Agent,StartupX,572,5,26869,46,1,0,Remote,0
Graphic Designer,Google,104,3,25070,55,1,0,On-site,0
Data Entry,Freelance,575,7,28299,66,1,1,On-site,0
Online Survey Agent,Freelance,944,11,143907,42,1,1,Remote,0
Software Engineer,Amazon,314,5,52312,44,1,1,Hybrid,1
Marketing Specialist,Unknown LLC,815,7,126177,79,1,0,Hybrid,0
Software Engineer,StartupX,696,2,114513,22,0,1,On-site,0
Online Survey Agent,Tesla,46,1,38908,42,0,1,On-site,1
Blockchain Developer,Unknown LLC,217,11,84361,54,1,0,Remote,0
Data Entry,Unknown LLC,987,14,172144,57,0,0,Hybrid,1
Blockchain Developer,Google,96,4,17917,48,1,1,Remote,0
Content Writer,StartupX,869,4,121769,19,0,0,Hybrid,0
Content Writer,Google,412,2,3923,86,0,0,Remote,0
Marketing Specialist,Unknown LLC,198,10,15521,67,1,0,Remote,0
Online Survey Agent,Facebook,611,5,19112,55,0,1,Hybrid,0
Blockchain Developer,StartupX,237,12,81107,37,0,1,Hybrid,0
Graphic Designer,Unknown LLC,595,0,57894,58,1,0,On-site,0
Marketing Specialist,Google,500,11,84499,59,1,0,Remote,0
HR Manager,Unknown LLC,857,6,65187,7,0,0,On-site,1
HR Manager,Tesla,948,0,129836,27,0,0,On-site,0
Content Writer,Freelance,570,4,163651,10,1,1,Remote,0
Content Writer,Facebook,274,12,182808,37,0,0,Hybrid,1
Marketing Specialist,Tesla,430,12,29116,65,0,0,Hybrid,1
HR Manager,Unknown LLC,818,13,140612,77,1,0,Remote,0
Blockchain Developer,Tesla,212,15,50684,81,0,0,On-site,0
Data Entry,StartupX,35,11,82860,14,0,0,On-site,0
Content Writer,Tesla,646,4,175201,1,0,1,Hybrid,1
HR Manager,Tesla,746,8,40668,20,0,1,Remote,0
Online Survey Agent,StartupX,357,14,70424,75,1,0,Remote,1
Content Writer,Google,996,13,7319,16,0,1,Remote,1
HR Manager,Unknown LLC,278,10,129453,63,1,0,On-site,1
Graphic Designer,Unknown LLC,926,9,65731,44,0,1,On-site,1
Online Survey Agent,Amazon,820,3,58778,36,1,0,On-site,0
HR Manager,Tesla,147,11,169018,87,1,1,Remote,1
Blockchain Developer,Freelance,743,5,145811,47,0,0,Remote,1
HR Manager,Freelance,253,5,7468,35,1,1,Remote,0
Online Survey Agent,StartupX,894,2,169353,13,1,0,Remote,0
Graphic Designer,StartupX,102,14,61172,47,1,1,Hybrid,1
Data Entry,Google,942,0,19656,40,1,0,Remote,0
HR Manager,Amazon,664,10,153854,6,0,0,On-site,1
Blockchain Developer,StartupX,837,5,5366,39,1,0,Hybrid,0
Content Writer,StartupX,111,7,103650,30,1,1,On-site,0
Blockchain Developer,Google,467,7,148827,73,1,0,Remote,1
Software Engineer,Freelance,42,13,110197,25,0,0,Remote,1
Blockchain Developer,Unknown LLC,428,5,156936,17,0,0,Remote,1
Graphic Designer,Tesla,377,9,41052,20,1,0,Hybrid,1
HR Manager,Unknown LLC,963,4,110248,71,0,0,On-site,0
Software Engineer,Tesla,907,14,180696,11,0,0,Remote,0
Marketing Specialist,Google,167,13,516,6,0,0,Hybrid,0
Content Writer,Google,367,0,40420,87,1,0,On-site,1
Software Engineer,Unknown LLC,599,15,29906,84,0,0,Remote,0
Blockchain Developer,StartupX,266,1,182965,9,0,0,On-site,0
Marketing Specialist,Amazon,163,11,107438,58,1,1,Remote,1
Blockchain Developer,Tesla,615,8,5024,73,1,0,On-site,0
Online Survey Agent,Google,120,0,137349,48,0,1,Hybrid,0
Blockchain Developer,Freelance,198,15,183430,64,1,1,Hybrid,1
Data Entry,Amazon,913,4,55220,7,0,0,Remote,0
Online Survey Agent,Freelance,64,5,141459,23,0,1,Remote,1
Data Entry,Google,653,4,188668,39,0,1,On-site,0
Software Engineer,Tesla,729,4,165768,80,1,0,Hybrid,1
Software Engineer,Google,930,2,187387,15,1,1,On-site,0
Marketing Specialist,StartupX,96,6,175473,38,0,1,On-site,0
